Unique user count;Component set;Product;Version
18066;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
16207;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
5696;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
5306;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
4458;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
3960;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
3789;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
3517;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1838;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1784;Component1+Component5+Component9+Component11+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1663;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1511;Component1+Component5+Component11+Component21+Component29+Component30+Component31;2049294527;11.4.0.233
1505;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1327;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1284;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1224;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1219;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1092;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
972;Component1+Component5+Component11+Component21+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
769;Component1+Component5+Component9+Component11+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
728;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
723;Component1+Component5+Component11+Component15+Component21+Component29+Component30+Component31;2049294527;11.4.0.233
671;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
640;Component1+Component5+Component11+Component21+Component29+Component30+Component31;2049294527;11.3.0.773
604;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
558;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
469;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
447;Component1+Component5+Component11+Component15+Component21+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
446;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
435;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
426;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
425;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
417;Component1+Component5+Component11+Component21+Component28+Component29+Component30+Component31;2049294527;11.3.0.773
390;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
373;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
366;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
361;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
346;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
329;Component1+Component5+Component11+Component21+Component29+Component30+Component31;2049294527;21.2.16.590
304;Component1+Component5+Component9+Component11+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
297;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
295;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
277;Component1+Component5+Component11+Component21+Component28+Component29+Component30+Component31;2049294527;21.2.16.590
260;Component1+Component5+Component9+Component11+Component12+Component13+Component14+Component15+Component21+Component22+Component23+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
259;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
